Age,AnnualIncome,CallDropRate,CallFailureRate,CallingNumber,CustomerID,CustomerSuspended,Education,Gender,HomeOwner,MaritalStatus,MonthlyBilledAmount,NoAdditionalLines,NumberOfComplaints,NumberOfMonthUnpaid,NumDaysContractEquipmentPlanExpiring,Occupation,PenaltyToSwitch,State,TotalMinsUsedInLastMonth,UnpaidBalance,UsesInternetService,UsesVoiceService,PercentageCallOutsideNetwork,Churn
12,168147,0.06,0,4251078442,1,Yes,Bachelor or equivalent,Male,Yes,Single,71,Yes,0,7,96,Technology Related Job,371,WA,15,19,No,No,0.82,0
42,29047,0.05,0.01,4251043419,2,Yes,Bachelor or equivalent,Female,Yes,Single,8,No,1,4,14,Technology Related Job,43,WI,212,34,No,Yes,0.27,0
58,27076,0.07,0.02,4251055773,3,Yes,Master or equivalent,Female,Yes,Single,16,Yes,0,2,55,Technology Related Job,403,KS,216,144,No,No,0.48,0
20,137977,0.05,0.03,4251042488,4,Yes,PhD or equivalent,Male,No,Single,74,Yes,1,7,73,Technology Related Job,76,KY,412,159,Yes,No,0.94,0
36,136006,0.07,0,4251073177,5,Yes,High School or below,Male,Yes,Married,81,Yes,0,5,14,Technology Related Job,436,ND,416,19,No,No,0.15,0
67,246906,0.05,0.01,4251023523,6,Yes,High School or below,Female,Yes,Married,19,No,1,2,32,Technology Related Job,108,OK,113,34,No,No,0.61,0
14,244935,0.07,0.02,4251055777,7,Yes,High School or below,Male,Yes,Single,27,Yes,3,0,73,Technology Related Job,468,AZ,116,144,No,No,0.82,0
45,105835,0.05,0.03,4251045184,8,Yes,High School or below,Female,Yes,Married,85,Yes,1,5,91,Technology Related Job,141,CA,313,159,No,No,0.27,0
61,103864,0.07,0,4251031912,9,Yes,Bachelor or equivalent,Female,Yes,Single,92,No,3,3,32,Technology Related Job,1,MI,316,19,No,No,0.48,0
23,214765,0.06,0.01,4251042084,10,Yes,Bachelor or equivalent,Male,Yes,Single,30,Yes,0,0,50,Technology Related Job,173,MN,13,34,No,No,0.94,1
39,212794,0,0.02,4251079715,11,Yes,Master or equivalent,Female,Yes,Married,37,Yes,3,6,91,Technology Related Job,34,SC,17,144,No,Yes,0.15,0
69,73694,0.06,0.03,4251022028,12,Yes,Master or equivalent,Male,No,Married,95,Yes,0,4,9,Technology Related Job,206,TN,214,159,No,No,0.61,0
17,71723,0,0,4251047310,13,Yes,High School or below,Male,No,Married,103,No,3,1,50,Technology Related Job,66,FL,217,19,No,No,0.82,0
48,182623,0.06,0.01,4251072591,14,Yes,High School or below,Female,Yes,Married,41,Yes,0,7,68,Technology Related Job,239,HI,414,34,No,No,0.27,0
64,180652,0,0.02,4251060013,15,Yes,High School or below,Female,Yes,Single,48,Yes,2,4,8,Technology Related Job,99,NV,417,144,No,No,0.48,0
26,41553,0.06,0.03,4251042322,16,Yes,High School or below,Male,Yes,Single,106,Yes,0,2,27,Technology Related Job,271,NH,114,159,No,No,0.94,0
42,39582,0,0,4251011152,17,Yes,Bachelor or equivalent,Female,Yes,Married,114,No,2,7,67,Technology Related Job,131,VA,118,19,No,No,0.15,0
72,150482,0.07,0.01,4251051704,18,Yes,Bachelor or equivalent,Male,No,Single,52,Yes,3,5,86,Non-technology Related Job,304,WV,315,34,No,No,0.61,0
20,148511,0.01,0.02,4251070591,19,Yes,Master or equivalent,Male,Yes,Married,59,Yes,2,2,26,Technology Related Job,164,IA,318,144,No,No,0.82,0
50,9412,0.07,0.03,4251047771,20,Yes,Master or equivalent,Female,Yes,Married,117,Yes,3,0,45,Non-technology Related Job,336,KY,15,159,No,No,0.28,0
66,7441,0.01,0,4251079003,21,Yes,High School or below,Female,Yes,Single,4,Yes,1,5,85,Technology Related Job,196,ND,18,19,No,No,0.49,0
29,118341,0.07,0.01,4251043431,22,Yes,High School or below,Male,Yes,Single,62,Yes,3,3,4,Non-technology Related Job,369,OH,215,34,No,No,0.94,0
45,116370,0.01,0.02,4251010033,23,Yes,High School or below,Female,Yes,Single,70,Yes,1,0,44,Technology Related Job,229,AK,219,144,No,No,0.15,0
